sales_channel,route,avg_stay_flight_ratio,avg_baggage_flight_ratio,avg_seat_flight_ratio,avg_meals_flight_ratio
Internet,AKLDEL,5.949656750543481,0.11441647590579714,0.038138825181159436,0.10488176956521744
Mobile,AKLDEL,5.434782608695652,0,0,0
Internet,AKLHGH,3.353057199211045,0,0,0
Internet,AKLHND,2.3117569352708056,0.06605019815059444,0,0.06605019815059444
Internet,AKLICN,4.234116426888216,0.1127294042296072,0.029309645015105724,0.08341975906344407
Mobile,AKLICN,3.5246727089123864,0.05035246722054381,0,0.05035246722054381
Internet,AKLKIX,10.535714285714286,0.07142857142857142,0.017857142857142856,0.03571428571428571
Internet,AKLKTM,6.4912280701052625,0.21052631578947367,0,0.035087719157894735
Mobile,AKLKTM,3.789473684210526,0.21052631578947367,0,0
Internet,AKLKUL,3.7771617192523914,0.07711052910531957,0.02615254688561613,0.05193347678368981
Mobile,AKLKUL,3.3324597773499547,0.071600385503964,0.022462866024915137,0.039777991959230034
Internet,AKLMRU,6.311769990970349,0.1347708894878706,0.11230907452830187,0.1347708894878706
Internet,AKLPEK,2.141744548286604,0.11682242990654206,0.0778816199376947,0.1557632398753894
Mobile,AKLPEK,4.8286604361370715,0,0.1557632398753894,0.1557632398753894
Internet,AKLPVG,4.50281425891182,0.18761726078799248,0,0.06253908686679174
Internet,AKLTPE,5.358672376873666,0.1391862955032121,0.016059957173447548,0.05888650963597435
Mobile,AKLTPE,5.10859590085653,0.12236157837259098,0.030590394432548174,0.061180789079229116
Internet,AORICN,2.7995971802114803,0.13091641480362534,0.030211480362537763,0.09063444108761327
Mobile,AORICN,2.8197381670694863,0.1510574018126888,0.05035246722054381,0.1510574018126888
Internet,AORKIX,2.369047619,0.08333333328571428,0.07142857142857142,0.07142857142857142
Mobile,AORKIX,1.9523809522857143,0.14285714285714285,0.047619047571428576,0.14285714285714285
Internet,AORKTM,15.185964912210526,0.21052631578947367,0.014035087578947369,0.07017543852631579
Mobile,AORKTM,6.2105263157894735,0,0,0.10526315789473684
Internet,AORMEL,1.9014126482446203,0.07748703578708944,0.029802706002265,0.053644870894677225
Mobile,AORMEL,1.1325028312570782,0.07550018867497169,0.03775009433748584,0.11325028312570781
Internet,BBIMEL,1.9252548131370328,0.11325028312570781,0.11325028312570781,0.11325028312570781
Internet,BBIOOL,2.378255945639864,0.11325028312570781,0.056625141562853906,0
Internet,BBIPER,8.00711743772242,0.17793594306049823,0.17793594306049823,0.17793594306049823
Internet,BBISYD,4.831532104195804,0.08476372109557109,0.05297732564102564,0.09535918624708625
Internet,BDOCTS,6.978085351787774,0.11534025374855825,0.05767012687427912,0.11534025374855825
Internet,BDOCTU,2.330508474576271,0.1412429377118644,0,0
Mobile,BDOCTU,8.474576271186441,0.21186440677966104,0,0
Internet,BDOHGH,4.273504273372783,0.16906170749506913,0,0.15027707317554248
Mobile,BDOHGH,4.1420118343195265,0.1972386587771203,0.09861932938856015,0.1972386587771203
Internet,BDOICN,2.390874049244712,0.11459527024169179,0.06771538700906342,0.06771538700906342
Internet,BDOIKA,1.9520356943558277,0.05577244834355827,0.03346346895705521,0.07808142773006133
Mobile,BDOIKA,1.411042944785276,0.06134969325153374,0,0
Mobile,BDOKIX,3.6530612244285714,0.081632653,0.020408163142857143,0.081632653
Internet,BDOKIX,4.809523809428571,0.09523809514285715,0.047619047571428576,0.08035714285714286
Internet,BDOMEL,3.5469988674971664,0.08607021517553788,0.040770101925254786,0.07248018120045296
Mobile,BDOMEL,3.454133635334088,0.056625141562853906,0.028312570781426953,0.056625141562853906
Internet,BDOOOL,5.926764816874292,0.07550018867497169,0.025166729558323896,0.03775009433748584
Internet,BDOPEK,1.9340602283489092,0.0908618898753894,0.012980269937694702,0
Internet,BDOPER,2.5355871886120998,0.13345195729537365,0.055604982206405695,0.10008896797153025
